,ts_code,name,start_date,end_date,change_reason
4,000031.SZ,深宝恒A,19931008,20060213,其他
,ts_code,name,start_date,end_date,change_reason
0,000032.SZ,深桑达A,20061009,,摘G
1,000032.SZ,G深桑达,20060207,20061008,完成股改
2,000032.SZ,深桑达A,19931028,20060206,其他
,ts_code,name,start_date,end_date,change_reason
0,000034.SZ,神州数码,20160425,,改名
1,000034.SZ,深信泰丰,20110401,20160424,撤销ST
2,000034.SZ,ST深泰,20100914,20110331,摘星
3,000034.SZ,*ST深泰,20090429,20100913,*ST
4,000034.SZ,ST深泰,20080714,20090428,完成股改
5,000034.SZ,SST深泰,20070821,20080713,摘星
6,000034.SZ,S*ST深泰,20061009,20070820,未股改加S
7,000034.SZ,*ST深泰,20060428,20061008,*ST
8,000034.SZ,ST深泰,20050510,20060427,ST
9,000034.SZ,深信泰丰,20010305,20050509,改名
10,000034.SZ,深华宝A,20010118,20010304,撤销ST
11,000034.SZ,ST深华宝,19990430,20010117,ST
12,000034.SZ,深华宝A,19940509,19990429,其他
,ts_code,name,start_date,end_date,change_reason
0,000035.SZ,中国天楹,20140624,,改名
1,000035.SZ,中科健,20140422,20140623,撤销*ST
2,000035.SZ,*ST科健,20111012,20140421,*ST
3,000035.SZ,ST科健,20110811,20111011,摘星
4,000035.SZ,*ST科健,20100428,20110810,*ST
5,000035.SZ,ST科健,20070615,20100427,摘星
6,000035.SZ,*ST科健,20070116,20070614,完成股改
7,000035.SZ,S*ST科健,20061009,20070115,未股改加S
8,000035.SZ,*ST科健,20060509,20061008,*ST
9,000035.SZ,ST科健,20050902,20060508,摘星
10,000035.SZ,*ST科健,20050701,20050901,*ST
11,000035.SZ,中科健A,19940408,20050630,其他
,ts_code,name,start_date,end_date,change_reason
0,000036.SZ,华联控股,20100604,,撤销*ST
1,000036.SZ,*ST华控,20090429,20100603,*ST
2,000036.SZ,华联控股,20061009,20090428,摘G
3,000036.SZ,G华联,20060328,20061008,完成股改
4,000036.SZ,华联控股,20000907,20060327,改名
5,000036.SZ,深惠中A,19940617,20000906,其他
,ts_code,name,start_date,end_date,change_reason
0,000037.SZ,深南电A,20170417,,撤销*ST
1,000037.SZ,*ST南电A,20160405,20170416,*ST
2,000037.SZ,深南电A,20061009,20160404,摘G
3,000037.SZ,G南电,20060328,20061008,完成股改
4,000037.SZ,深南电A,19940701,20060327,其他
,ts_code,name,start_date,end_date,change_reason
0,000038.SZ,深大通,20130514,,撤销*ST
1,000038.SZ,*ST大通,20090504,20130513,完成股改
2,000038.SZ,S*ST大通,20061009,20090503,未股改加S
3,000038.SZ,*ST大通,20060509,20061008,*ST
4,000038.SZ,深大通A,20010406,20060508,撤销ST
5,000038.SZ,ST深大通,20000411,20010405,ST
6,000038.SZ,深大通A,19940808,20000410,其他
,ts_code,name,start_date,end_date,change_reason
